step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
0,0,2,Battery -> Load; Grid supplements if needed,0.0,1.536634426000764,0.0,0.0,0.0,1.536634426000764,0.41826412627655507,1.0,298.2539823003145,0.08433788819868285,0.0,0.0,0.0,0.0,0.0,0.004241672580303968,0.0,0.0
1,1,0,PV -> Load; excess PV -> Battery,0.0,1.6017267480118285,1.6017267480118285,0.0,0.0,0.0,0.41826412627655507,1.0,298.2539823003145,0.08030691541892085,0.12862973447680906,0.0,0.0,0.0,-0.12862973447680906,0.11255090792505032,0.12862973447680906,0.0
2,2,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.4121705927971895,3.4121705927971897,0.0,2.0,0.0,0.514264126276555,1.0,298.4265937573646,0.08098025833329227,0.2763184560819794,0.0,0.0,0.0,-0.2763184560819794,0.22583698423929033,0.4049481905587885,0.0
3,3,2,Battery -> Load; Grid supplements if needed,0.0,1.3636990315311979,0.0,0.0,0.0,1.3636990315311979,0.44172694374829985,1.0,298.50808186378686,0.08340938718392739,0.0,0.0,0.0,0.0,0.0,0.005988891404261208,0.4049481905587885,0.0
4,4,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.2012242683317953,3.2012242683317953,0.0,2.0,0.0,0.5377269437482999,1.0,298.679845116712,0.08247273180730391,0.26401371053716083,0.0,0.0,0.0,-0.26401371053716083,0.25271189530792276,0.6689619010959493,0.0
5,5,2,Battery -> Load; Grid supplements if needed,0.0,1.6457434472979302,0.0,0.0,0.0,1.6457434472979302,0.45018739867926105,1.0,298.7983137729546,0.08173686953133452,0.0,0.0,0.0,0.0,0.0,0.0007938681642935413,0.6689619010959493,0.0
6,6,3,Grid -> Load; Grid -> Battery (arbitrage),0.02555608958444414,1.5024985950864072,3.502498595086407,0.0,2.0,0.0,0.546187398679261,1.0,298.9697727051617,0.0788624882488378,0.2762157542965727,0.0,0.0,0.0,-0.2762157542965727,0.27020098545138255,0.945177655392522,0.0
7,7,2,Battery -> Load; Grid supplements if needed,0.043048417732596676,5.030859701742024,0.0,0.0,0.0,5.030859701742024,0.27858847837383416,1.0,300.1487928713041,0.07694337934748041,0.0,0.0,0.0,0.0,0.0,0.0017320868020118643,0.945177655392522,0.0
8,8,2,Battery -> Load; Grid supplements if needed,0.06462776240865938,4.882460768524158,1.524997375096076,0.0,0.0,3.357463393428082,0.1,1.0,300.7441611678395,0.08112850668857981,0.12372075974554865,0.0,0.0,0.0,-0.12372075974554865,0.12747808288060253,1.0688984151380707,0.0
9,9,1,PV -> Load; excess PV -> Grid (sell),0.08679099253779478,1.683974704392894,1.5971837118550993,0.0,0.0,0.0,0.1,1.0,300.7441611678395,0.13846412147135345,0.22115263949037167,0.0,0.0,0.0,-0.22115263949037167,0.20739978928745031,1.2900510546284423,0.0
10,10,3,Grid -> Load; Grid -> Battery (arbitrage),0.10523185681127746,1.6414800866517025,3.6414800866517023,0.0,2.0,0.0,0.196,0.99999712,300.93775010679815,0.14248170459649723,0.5188442900003349,0.0,0.0,0.0,-0.5188442900003349,0.515678451096628,1.8088953446287772,0.0
11,11,3,Grid -> Load; Grid -> Battery (arbitrage),0.11722653629029267,1.4817264177768465,3.4817264177768465,0.0,2.0,0.0,0.2920002764807963,0.99999712,301.1229992566611,0.24063376334415232,0.8378209308443969,0.0,0.0,0.0,-0.8378209308443969,0.8270520345246264,2.646716275473174,0.0
12,12,0,PV -> Load; excess PV -> Battery,0.08571878268920424,2.4166204813146575,2.3309016986254534,0.0,0.0,0.0,0.2920002764807963,0.99999712,301.1229992566611,0.2377641169450106,0.5542047840593062,0.0,0.0,0.0,-0.5542047840593062,0.5484742631800418,3.2009210595324804,0.0
13,13,3,Grid -> Load; Grid -> Battery (arbitrage),0.12287266260933362,2.446496292391213,4.446496292391213,0.0,2.0,0.0,0.3880005529615926,0.99999712,301.3007390726505,0.24080317578852348,1.0707304283396992,0.0,0.0,0.0,-1.0707304283396992,1.0574212121754898,4.271651487872179,0.0
14,14,0,PV -> Load; excess PV -> Battery,0.11872033060179682,1.3802061686363025,1.2614858380345058,0.0,0.0,0.0,0.3880005529615926,0.99999712,301.3007390726505,0.1421275414244134,0.17929188070156005,0.0,0.0,0.0,-0.17929188070156005,0.13216397779808087,4.450943368573739,0.0
15,15,1,PV -> Load; excess PV -> Grid (sell),0.0306683208453289,1.503984622386081,1.4733163015407522,0.0,0.0,0.0,0.3880005529615926,0.99999712,301.3007390726505,0.14053256034884412,0.20704891205921158,0.0,0.0,0.0,-0.20704891205921158,0.17820411480907672,4.657992280632951,0.0
16,16,3,Grid -> Load; Grid -> Battery (arbitrage),0.03769795499488382,1.407574842044918,3.4075748420449177,0.0,2.0,0.0,0.48400082944238887,0.99999712,301.47445388816175,0.13765229270615878,0.46906048957530977,0.0,0.0,0.0,-0.46906048957530977,0.4170884593143566,5.127052770208261,0.0
17,17,3,Grid -> Load; Grid -> Battery (arbitrage),0.07870839479204703,1.5878313780813063,3.5878313780813063,0.0,2.0,0.0,0.5800011059231851,0.99999712,301.6447045886956,0.2407869869990193,0.863903107388737,0.0,0.0,0.0,-0.863903107388737,0.8453260672533692,5.990955877596997,0.0
18,18,2,Battery -> Load; Grid supplements if needed,0.058208273426280335,5.446079713801188,0.0,0.0,0.0,5.446079713801188,0.2903151804680821,0.99999712,303.01932572918304,0.2410710051141639,0.0,0.0,0.0,0.0,0.0,0.0013483872098209414,5.990955877596997,0.0
19,19,2,Battery -> Load; Grid supplements if needed,0.03871959616263759,5.446906440409096,1.8689913520342847,0.0,0.0,3.5779150883748114,0.1,0.99999712,303.69544480852176,0.24247286212792932,0.4531796824201013,0.0,0.0,0.0,-0.4531796824201013,0.44826343834709326,6.444135560017099,0.0
20,20,2,Battery -> Load; Grid supplements if needed,0.023068944457855043,5.730587950630299,5.730587950630299,0.0,0.0,0.0,0.1,0.99999712,303.69544480852176,0.14216610326797763,0.8146953583755353,0.0,0.0,0.0,-0.8146953583755353,0.8142801749764891,7.258830918392634,0.0
21,21,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.3911420716171916,3.3911420716171916,0.0,2.0,0.0,0.19600027648079626,0.9999942399917056,303.88903369981915,0.07727522746109698,0.2620512749371141,0.0,0.0,0.0,-0.2620512749371141,0.23334125446272558,7.520882193329748,0.0
22,22,1,PV -> Load; excess PV -> Grid (sell),0.0,1.2648126168081804,1.2648126168081804,0.0,0.0,0.0,0.19600027648079626,0.9999942399917056,303.88903369981915,0.07850668593139112,0.09929624686982076,0.0,0.0,0.0,-0.09929624686982076,0.08364213210494584,7.6201784401995685,0.0
23,23,2,Battery -> Load; Grid supplements if needed,0.0,1.554932278861117,0.0,0.0,0.0,1.554932278861117,0.11329063630337445,0.9999942399917056,304.0151680195976,0.08181713938386,0.0,0.0,0.0,0.0,0.0,0.008224814326325828,7.6201784401995685,0.0
